,names,films,tv_shows,park_attractions
1034,Br'er Rabbit,"""Mickey's House of Villains""",'House of Mouse','Jubilation!'
1035,Br'er Rabbit,,,"""Mickey's Jammin' Jungle Parade"""
1036,Br'er Rabbit,,,"""Mickey's Jingle Jungle Parade"""
1037,Br'er Rabbit,,,"""Mickey's Boo-to-You Halloween Parade"""
1038,Br'er Rabbit,,,'Light Magic'
1039,Br'er Rabbit,,,'Fantasmic!'
1040,Br'er Rabbit,,,'Parade of the Stars'
1041,Br'er Rabbit,,,'World of Color'
1042,Brentwood,,'Gargoyles',
1043,Brianna Buttowski,,'Kick Buttowski: Suburban Daredevil',
1044,Bridget,'The Wild',,
1045,Elyon Brown,,'W.I.T.C.H. (TV series)',
1046,Professor Emelius Browne,'Bedknobs and Broomsticks',,
1047,Barbara Brownstein,,'The Suite Life of Zack & Cody',
1048,Barbara Brownstein,,'The Suite Life on Deck',
1049,Bruno,'Cinderella (1950 film)','Walt Disney anthology series',"""Cinderella's Golden Carousel"""
1050,Bruno,'Cinderella II: Dreams Come True','Raw Toonage','Fantasmic!'
1051,Bruno,,'A Poem Is...',"""Cinderella's Fairy Tale Hall"""
1052,Bucky the Squirrel,"""The Emperor's New Groove""","""The Emperor's New School""",
1053,Bucky the Squirrel,"""Kronk's New Groove""",,
1054,Bud and Sylvia Newman,'The Santa Clause 2',,
1055,Bud and Sylvia Newman,'The Santa Clause 3: The Escape Clause',,
1056,Budderball,'Air Buddies',,
1057,Budderball,'Snow Buddies',,
1058,Budderball,'Space Buddies',,
1059,Budderball,'Santa Buddies',,
1060,Budderball,'Spooky Buddies',,
1061,Budderball,'Treasure Buddies',,
1062,Budderball,'Super Buddies',,
1063,Taurus Bulba,,'Darkwing Duck',
1064,Taurus Bulba,,'DuckTales (2017 series)',
1065,Butch,,,
1066,C-3-lhu,,'Gravity Falls',
1067,Cabbie,'Planes: Fire & Rescue',,
1068,Rat Capone,,"""Chip 'n Dale Rescue Rangers""",
1069,Carl,'Meet the Robinsons',,
1070,Carlos,'Pirates of the Caribbean: The Curse of the Black Pearl',,'Pirates of the Caribbean (ride)'
1071,Carlos,"""Pirates of the Caribbean: Dead Man's Chest""",,
1072,Carmen,'Leroy & Stitch','Lilo & Stitch: The Series',
1073,Carmen,,'Stitch!',
1074,Bernard,'The Rescuers','House of Mouse','Parade of the Stars'
1075,Bernard,'The Rescuers Down Under','A Poem Is...','World of Color'
1076,Bernard,,,'Main Street Electrical Parade'
1077,Bill Cipher,,'Gravity Falls',
1078,Bishop,'The Little Mermaid',,
1079,Blackjack,,'DuckTales',
1080,Blendin Blandin,,'Gravity Falls',
1081,Blaster,'G-Force',,
1082,Blaze,'Tinker Bell and the Lost Treasure',,'Main Street Electrical Parade'
1083,Blaze,'Tinker Bell and the Great Fairy Rescue',,
1084,Blotworx,,,
1085,Blue Fairy,'Pinocchio (film)','House of Mouse',"""Pinocchio's Daring Journey"""
1086,Blue Fairy,"""Teacher's Pet: The Movie""",'Once Upon a Time','Main Street Electrical Parade'
1087,Blue Fairy,'Geppetto (film)',,"""Walt Disney's Parade of Dreams"""
1088,Blue Fairy,'Ralph Breaks the Internet',,'Wishes: A Magical Gathering of Disney Dreams'
1089,Blue Fairy,,,'Jubilation!'
1090,Blue Fairy,,,'Parade of the Stars'
1091,Blue Fairy,,,"""Magical: Disney's New Nighttime Spectacular of Magical Celebrations"""
1092,Blue Fairy,,,'Once Upon a Time (Tokyo Disneyland)'
1093,Bodger,'The Incredible Journey',,
1094,Bongo,'Fun and Fancy Free','House of Mouse',
1095,Bongo,'The Return of Jafar','A Poem Is...',
1096,Boodles,,'Mickey Mouse Clubhouse',
1097,Harold Booth,'The Black Hole',,
1098,Ezra Beetle,,,
1099,Breezy,,,
1100,Brenda,,'Pepper Ann',
1101,Briar and Bramble,,'DuckTales (2017 series)',
1102,Mrs. Brill,'Mary Poppins',,
1103,Bronx,,'Gargoyles',
1104,Django Brown,'Phineas and Ferb the Movie: Across the 2nd Dimension','Phineas and Ferb',
1105,Brutish and Oafish Guards,'The Hunchback of Notre Dame',,
1106,Brutish and Oafish Guards,'The Hunchback of Notre Dame II',,
1107,Bubbles the Elephant,,'Mickey Mouse Clubhouse',
1108,Bucky,'G-Force',,
1109,Buldeo,'The Jungle Book',,
1110,Bumblelion,,'The Wuzzles',
1111,Captain Peghook,,'DuckTales (2017 series)',
1112,Carina Smyth,'Pirates of the Caribbean: Dead Men Tell No Tales',,
1113,Big Jack,,'Doc McStuffins',
1114,Bigfoot,'A Goofy Movie','Walt Disney anthology series',
1115,Bigfoot,'Bedtime Stories','Darkwing Duck',
1116,Bigfoot,,'Goof Troop',
1117,Bigfoot,,'Timon & Pumbaa',
1118,Bigfoot,,'Phineas and Ferb',
1119,Bigfoot,,'Gravity Falls',
1120,Bigfoot,,'DuckTales (2017 series)',
1121,Bigfoot,,'Vampirina',
1122,Bit,'Tron','Tron: Uprising',
1123,Bit,'Tron: Legacy',,
1124,Bit,'Ralph Breaks the Internet',,
1125,Blanca Núñez,,'Elena of Avalor',
1126,Mikey Blumberg,"""Recess: School's Out""",'Recess',
1127,Mikey Blumberg,,'Lilo & Stitch: The Series',
1128,Bob,,'Puppy Dog Pals',
1129,Billy Bones,'Treasure Planet',,
1130,Boo,,'Sofia the First',
1131,Boreas,'Fantasia',,
1132,Boreas,'So Dear to My Heart',,
1133,Bots,,,
1134,Br'er Gator,,,'Splash Mountain'
1135,Braces Girl,,'Fillmore!',
1136,Clovis Bradley,'The Apple Dumpling Gang',,
1137,Brawnhilda,'Aladdin and the King of Thieves','Aladdin (TV series)',
1138,Bread-and-Butterflies,'Alice in Wonderland (1951 film)','House of Mouse','Alice in Wonderland (Disneyland attraction)'
1139,Bree James,,'Fancy Nancy',
1140,Britina,,'Kim Possible',
1141,Sheriff Sam Brown,'Home on the Range',,
1142,Bruin,,"""Chip 'n Dale Rescue Rangers""",
1143,Bruiser,'Flight of the Navigator',,
1144,Bruno von Stickle,'Herbie Goes to Monte Carlo',,
1145,Bryn Breitbart,,'Jessie (TV series)',
1146,Bubbles,,'Goof Troop',
1147,Buckets,,'The 7D',
1148,Pronk and Bucky,'Zootopia',,
1149,Paul Bunyan,'Tall Tale','Sing Me a Story with Belle',
1150,Paul Bunyan,'American Legends','House of Mouse',
1151,Paul Bunyan,,'Phineas and Ferb',
1152,Paul Bunyan,,'Gravity Falls',
1153,Bushroot,,'Darkwing Duck',
1154,Bushroot,,'DuckTales (2017 series)',
1155,Star Butterfly,,'Star vs. the Forces of Evil',
1156,Star Butterfly,,'Future-Worm!',
1157,Star Butterfly,,'Big City Greens',
1158,Cadence,,'w:c:clubpenguin:Club Penguin Shorts',
1159,Cadence,,'We Wish You a Merry Walrus',
1160,Cadence,,'w:c:clubpenguin:Club Penguin: Monster Beach Party',
1161,Captain Colonel,,"""Chip 'n Dale Rescue Rangers""",
1162,Captain Crandall,,'Teamo Supremo',
1163,Captain X,'Pirates of the Caribbean: The Curse of the Black Pearl','Phineas and Ferb','Pirates of the Caribbean (attraction)'
1164,Captain X,"""Pirates of the Caribbean: Dead Man's Chest""",,'The Legend of Captain Jack Sparrow'
1165,Captain X,"""Pirates of the Caribbean: At World's End""",,'Pirates of the Caribbean: Battle for the Sunken Treasure'
1166,Captain X,'Pirates of the Caribbean: On Stranger Tides',,'Fantasmic!'
1167,Captain X,'Pirates of the Caribbean: Dead Men Tell No Tales',,'Disneyland'
1168,Maya Bennett,,'The Suite Life on Deck',
1169,Bent-Tail,,'Walt Disney anthology series',
1170,Bertha,,'American Dragon: Jake Long',
1171,Bethany Jones,,'The Proud Family',
1172,Betty Rose,,,'Disney Pirate or Princess: Make Your Choice'
1173,Billy,'Air Buddies',,
1174,Billy Beagle,,'Mickey and the Roadster Racers',
1175,Prince Nevarhas Bin-Broak,,'TaleSpin',
1176,Black Barty,,,
1177,Blade Ranger,'Planes: Fire & Rescue',,
1178,Blag,'The Wild',,
1179,Hank Blankenhooper,,'Good Luck Charlie',
1180,Society of the Blind Eye,,'Gravity Falls',
1181,Captain Bloodbeard,,'Timon & Pumbaa',
1182,Bob,,'The Suite Life of Zack & Cody',
1183,Bob,,'The Suite Life on Deck',
1184,Bobby,'The Santa Clause',,
1185,Bobo the Elephant,,'Mickey Mouse (TV series)',
1186,Bolivar,,,
1187,Catfish Booray,,'Randy Cunningham: 9th Grade Ninja',
1188,Inspector Bouchet,'Herbie Goes to Monte Carlo',,
1189,The Boy,,,
1190,Bracket,,,
1191,Danica Bricker,,"""I Didn't Do It""",
1192,Casey Brown,'Candleshoe',,
1193,Colonel Geoffrey Brydon,"""Rudyard Kipling's The Jungle Book""",,
1194,Bud,,"""Chip 'n Dale Rescue Rangers""",
1195,Buff Frog,,'Star vs. the Forces of Evil',
1196,Building Engineer,,'Phineas and Ferb',
1197,The Bunny Girls,'Who Framed Roger Rabbit',,
1198,Butch the Bulldog,,'Walt Disney anthology series',
1199,Butch the Bulldog,,"""Chip 'n Dale Rescue Rangers""",
1200,Butch the Bulldog,,'Mickey Mouse Works',
1201,Butch the Bulldog,,'Mickey Mouse Clubhouse',
1202,Butch the Bulldog,,'Have a Laugh!',
1203,Butch the Bulldog,,'Mickey and the Roadster Racers',
1204,Butch the Bulldog,,'The Wonderful World of Mickey Mouse',
1205,Butterbear,,'The Wuzzles',
1206,Butterbear,,'DuckTales (2017 series)',
1207,Sergeant Calhoun,'Wreck-It Ralph (film)',,'World of Color'
1208,Sergeant Calhoun,'Ralph Breaks the Internet',,'Jingle Bell
1209,Sergeant Calhoun,,,Jingle BAM!'
1210,King Candy,'Wreck-It Ralph (film)',,'World of Color'
1211,Capitaine Chevalle,"""Pirates of the Caribbean: At World's End""",,
1212,Captain Nathaniel Flint,'Treasure Planet',,
1213,Captain Peg-Hook,,,
1214,Carlotta,'The Little Mermaid',,
1215,Carlotta,'The Little Mermaid II: Return to the Sea',,
1216,Benny,'Halloweentown (film)',,
1217,Benny,"""Halloweentown II: Kalabar's Revenge""",,
1218,Benny,'Return to Halloweentown',,
1219,Bernice,,'K.C. Undercover',
1220,The Big Friendly Giant,'The BFG',,
1221,Bill Grand,'The Parent Trap II',,
1222,Bill Grand,'The Parent Trap III',,
1223,The Bimbettes,'Beauty and the Beast (1991 film)','House of Mouse',
1224,The Bimbettes,'Beauty and the Beast (2017 film)',,
1225,Birdzilla,'Homeward Bound: The Incredible Journey',,
1226,The Black Cube of Darkness,,'Wander Over Yonder',
1227,Trinket St. Blair,,'Pepper Ann',
1228,Blodger Blopp,,'Miles from Tomorrowland',
1229,Bluebelle,'Bambi (film)',,
1230,Bobtail's Parents,,'T.O.T.S.',
1231,Troy Bolton,'High School Musical',,
1232,Troy Bolton,'High School Musical 2',,
1233,Troy Bolton,'High School Musical 3: Senior Year',,
1234,Bonnie,'Leroy & Stitch','Lilo & Stitch: The Series',"""Stitch's Great Escape!"""
1235,Bonnie,,'Stitch!',
1236,Mrs. Booby,,"""Chip 'n Dale Rescue Rangers""",
1237,Boss Beaver,,'Timon & Pumbaa',
1238,Bossbots,,,
1239,Charlie Boyle,'Genius',,
1240,Boyz 'N Motion,,"""That's So Raven""",
1241,Boyz 'N Motion,,"""Raven's Home""",
1242,Br'er Bear,'Song of the South','Walt Disney anthology series','Splash Mountain'
1243,Br'er Bear,'Who Framed Roger Rabbit','The Mouse Factory','Mickey Mouse Revue'
1244,Br'er Bear,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'Bonkers (TV series)','SpectroMagic'
1245,Br'er Bear,'The Lion King 1½','House of Mouse','Jubilation!'
1246,Br'er Bear,,,"""Mickey's Jammin' Jungle Parade"""
1247,Br'er Bear,,,"""Mickey's Jingle Jungle Parade"""
1248,Br'er Bear,,,"""Mickey's Boo-to-You Halloween Parade"""
1249,Br'er Bear,,,'Fantasmic!'
1250,Br'er Bear,,,'World of Color'
1251,Brett Eze,,'Big City Greens',
1252,Brian,,'Goldie & Bear',
1253,Budd Skriff,'Upside-Down Magic',,
1254,Ian Calloway,,'Dog With a Blog',
1255,Candlehead,'Wreck-It Ralph (film)',,"""Mickey's Boo-to-You Halloween Parade"""
1256,Candlehead,'Ralph Breaks the Internet',,
1257,Candy Sprites,,'The 7D',
1258,Captain,'One Hundred and One Dalmatians','101 Dalmatians: The Series',
1259,Captain,'101 Dalmatians (1996 film)',,
1260,Captain Crocdile,'Robin Hood','House of Mouse',
1261,Captain Tim,,'Wander Over Yonder',
1262,Brian Carey,'The Parent Trap II',,
1263,Brian Carey,'The Parent Trap III',,
1264,Caribou Stampede,'Brother Bear',,
1265,Douglas Benson,,'TaleSpin',
1266,Benny the Cab,'Who Framed Roger Rabbit','House of Mouse',"""Roger Rabbit's Car Toon Spin"""
1267,Benny,'The Wild',,
1268,Berlioz,'The Aristocats',,'Happiness is Here Parade'
1269,Bernadette,,,
1270,Bertram Winkle,,'Jessie (TV series)',
1271,Bertram Winkle,,"""BUNK'D""",
1272,Big Daddy-O Cool,,,
1273,Big Nose,'Tangled','Tangled: The Series','Wishes (Disney Fantasy)'
1274,Big Nose,'Tangled: Before Ever After',,"""Mickey's Storybook Express"""
1275,Bill,,'Dog With a Blog',
1276,Billy Gruff,,'Goldie & Bear',
1277,Birdzilla,,'The New Adventures of Winnie the Pooh',
1278,Meredith Blake,'The Parent Trap (1998 film)',,
1279,Kurt Blobberts,,'Lloyd in Space',
1280,Boggles,,'Adventures of the Gummi Bears',
1281,Bolt,'Bolt (film)','Vampirina',
1282,Bolt,'Wreck-It Ralph (film)',,
1283,Bolt,'Big Hero 6',,
1284,Bolt,'Zootopia',,
1285,Bolt,'Ralph Breaks the Internet',,
1286,Bolt,'Frozen II',,
1287,Aristotle Bolt,'Escape to Witch Mountain',,
1288,The Bookseller,'Beauty and the Beast (1991 film)',,
1289,The Bookseller,'Beauty and the Beast (2017 film)',,
1290,Boothill Boys,,,'America Sings'
1291,Boothill Boys,,,'Splash Mountain'
1292,Boudreaux,,'Timon & Pumbaa',
1293,Boun,'Raya and the Last Dragon',,
1294,Brittany Boviak,,'Lloyd in Space',
1295,Brat,,'The Wuzzles',
1296,Bridget,,'Mighty Med',
1297,Amber Briggs,,'Penn Zero: Part-Time Hero',
1298,Bruce,,'Timon & Pumbaa',
1299,Josh Bryant,'The Princess Diaries',,
1300,Bubbles,,"""Chip 'n Dale Rescue Rangers""",
1301,Bud,'Aladdin and the King of Thieves','Aladdin (TV series)',
1302,Bulda,'Frozen',,
1303,Bulda,'Frozen II',,
1304,Buster,"""Pooh's Super Sleuth Christmas Movie""",'My Friends Tigger & Pooh',
1305,Buster,'Tigger & Pooh and a Musical Too',,
1306,Buster,'Super Duper Super Sleuths',,
1307,Mr. Buttons,,'Timon & Pumbaa',
1308,Ben Buzzard,'Who Framed Roger Rabbit',,
1309,Calvin's Parents,'Life Is Ruff',,
1310,Canoe Henderson,'That Darn Cat! (1965 film)',,
1311,Captain Moreland,'Swiss Family Robinson',,
1312,Ludo Carmichael,,'The Evermoor Chronicles',
1313,Gabe Bensen,,'Gravity Falls',
1314,Bert,'Mary Poppins (film)',,'The Great Movie Ride'
1315,Bert,'Saving Mr. Banks',,"""Mickey's Soundsational Parade"""
1316,Bert,'Mary Poppins Returns',,'Celebrate a Dreams Come True Parade'
1317,Bert,,,'Fantasmic!'
1318,Bert,,,"""Mickey's Once Upon a Christmastime Parade"""
1319,Bert,,,"""Disney's Once Upon a Dream Parade"""
1320,Bert,,,'Disney Stars and Motorcars Parade'
1321,Big Jet,,'Little Einsteins',
1322,Mr. Big,,'Bonkers',
1323,Bertie Birdbrain,,'Disney Sing Along Songs',
1324,Bloodbottler,'The BFG',,
1325,Azure Blue,,,
1326,Bob Block,,"""Milo Murphy's Law""",
1327,Bombie the Zombie,,'DuckTales (2017 series)',
1328,Shamrock Bones,,,
1329,BooGoo,,'Stitch!',
1330,Boudicca,,'Gargoyles',
1331,Brain Sponge,,'The Little Mermaid (TV series)',
1332,Brightly the Firefly,'Jake and the Never Land Pirates: Jake Saves Bucky','Jake and the Never Land Pirates',
1333,Brock Thunderstrike,,'Tangled: The Series',
1334,Dirk Brock,,"""The Emperor's New School""",
1335,Jenny Brown,'Phineas and Ferb the Movie: Across the 2nd Dimension','Phineas and Ferb',
1336,Bubba the Cave Duck,,'DuckTales',
1337,Bubba the Cave Duck,,'DuckTales (2017 series)',
1338,Buck,'Home on the Range',,
1339,Buck,'Once Upon a Halloween',,
1340,Buena,,'Zorro',
1341,Mr. Bundles,'Annie (1999 film)',,
1342,Leslie Burke,'Bridge to Terabithia',,
1343,Buster,'Meet the Robinsons',,
1344,Harold Buttowski,,'Kick Buttowski: Suburban Daredevil',
1345,Dr. Cagliostro,,'Timon & Pumbaa',
1346,Miles Callisto,,'Miles from Tomorrowland',
1347,Mrs. Calloway,'Home on the Range','Big City Greens',
1348,Mrs. Calloway,'Once Upon a Halloween',,
1349,Queen Camila,,'Elena of Avalor',
1350,Carpies,,'Adventures of the Gummi Bears',
1351,Miss Bianca,'The Rescuers','House of Mouse','Parade of the Stars'
1352,Miss Bianca,'The Rescuers Down Under','A Poem Is...','World of Color'
1353,Miss Bianca,,,'Main Street Electrical Parade'
1354,Bielle,'Alice in Wonderland (2010 film)',,
1355,Big Mama,'The Fox and the Hound',,
1356,Black Guards,'Tron: Legacy','Tron: Uprising',
1357,Zombie Officers,'Pirates of the Caribbean: On Stranger Tides',,
1358,Fletcher Blake,'Freaky Friday (2018)',,
1359,Sheriff Blubs,,'Gravity Falls',
1360,Bob Coffee,,'Timon & Pumbaa',
1361,Captain Buzzard Bones,,'Jake and the Never Land Pirates',
1362,Boogie Woogie Bakery Boy,,,'Kitchen Kabaret'
1363,Bookman,'Bedknobs and Broomsticks',,
1364,Alan Bradley,'TRON',,
1365,Alan Bradley,'Tron: Legacy',,
1366,Bobby Bradley,'The Apple Dumpling Gang',,
1367,Brethren Court,"""Pirates of the Caribbean: At World's End""",,'Pirates of the Caribbean: Battle for the Sunken Treasure'
1368,Bruton,'Dinosaur',,
1369,Bucky,'Jake and the Never Land Pirates: Peter Pan Returns','Jake and the Never Land Pirates','Disney Live!'
1370,Bucky,'Jake and the Never Land Pirates: Jake Saves Bucky',,
1371,Bucky,'Jake and the Never Land Pirates: Never Land Rescue',,
1372,Bucky,'Jake and the Never Land Pirates: Battle for the Book',,
1373,Bucky,'Captain Jake and the Never Land Pirates: The Great Never Sea Conquest',,
1374,Bucky,'Captain Jake and the Never Land Pirates: The Legion of Pirate Villains',,
1375,Buford Van Stomm,'Phineas and Ferb the Movie: Across the 2nd Dimension',,
1376,Bug,,'Future-Worm!',
1377,Bulldog,'Planes',,
1378,Abigail Bullion,,,
1379,Harry Bundage,'Candleshoe',,
1380,Burbank,,'Gargoyles',
1381,Burrito,'The Three Caballeros','House of Mouse',
1382,Buzzy,,,'Cranium Command'
1383,Anita Cabrillo,,'Zorro',
1384,Cagney,,'Gargoyles',
1385,Calvin O’Keefe,'A Wrinkle in Time (film)',,
1386,Calvin O’Keefe,'A Wrinkle in Time (2018 film)',,
1387,Captain Nora Nebulon,,'Lloyd in Space',
1388,Captain Quivers,,'Sofia the First',
1389,Snapercival Carpenter,,'The Buzz on Maggie',
1390,Benny and Clyde,,'Jungle Cubs',
1391,Beshte,'The Lion Guard: Return of the Roar','The Lion Guard',
1392,Bessie,,'Amphibia',
1393,Big Thunder Mining Company,,,'Big Thunder Mountain Railroad'
1394,Bill Freeman,'Flight of the Navigator',,
1395,Bill the Lizard,'Alice in Wonderland','House of Mouse',
1396,Bill the Lizard,'The Great Mouse Detective','Quack Pack',
1397,Bill the Lizard,'Who Framed Roger Rabbit','Darkwing Duck',
1398,Billy Dilley,,"""Billy Dilley's Super-Duper Subterranean Summer""",
1399,Blackbeard,"""Blackbeard's Ghost""",'Once Upon a Time','Pirates of the Caribbean (ride)'
1400,Blackbeard,"""Pirates of the Caribbean: At World's End""",,'World of Color'
1401,Blackbeard,'Pirates of the Caribbean: On Stranger Tides',,"""A Pirate's Adventure: Treasures of the Seven Seas"""
1402,Blackbeard,,,"""Pirate's Lair on Tom Sawyer Island"""
1403,Blackbeard,,,'Pirates of the Caribbean: Battle for the Sunken Treasure'
1404,Blackbeard,,,'Seven Seas Lagoon'
1405,Blackbeard,,,'Tortuga Tavern'
1406,Blackbeard,,,"""Trader Sam's"""
1407,Blinky,,'Jake and the Never Land Pirates',
1408,Blowhard,'Leroy & Stitch','Lilo & Stitch: The Series',
1409,Blowhard,,'Stitch!',
1410,Mr. Bluebird,'Song of the South','Mickey Mouse Works','Splash Mountain'
1411,Mr. Bluebird,,'House of Mouse',
1412,Bonecruncher,'The BFG',,
1413,Madame Adelaide Bonfamille,'The Aristocats','House of Mouse',
1414,Sunset Boulevardez,'The Proud Family Movie','The Proud Family',
1415,Br'er Fox,'Song of the South','Walt Disney anthology series','Splash Mountain'
1416,Br'er Fox,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'The Mouse Factory','Mickey Mouse Revue'
1417,Br'er Fox,,'House of Mouse','SpectroMagic'
1418,Br'er Fox,,,'Jubilation!'
1419,Br'er Fox,,,"""Mickey's Boo-to-You Halloween Parade"""
1420,Br'er Fox,,,'Fantasmic!'
1421,Br'er Fox,,,'Parade of the Stars'
1422,Br'er Fox,,,'World of Color'
1423,Celia Bradley,'The Apple Dumpling Gang',,
1424,Bravo and Echo,'Planes',,
1425,Breaker,'The Little Mermaid',,
1426,Brenda,,"""Raven's Home""",
1427,Jack Brewer,,"""Kickin' It""",
1428,Brewster the Beast Trapper,,'Jake and the Never Land Pirates',
1429,Chelsea Brimmer,,'The Suite Life of Zack & Cody',
1430,Chelsea Brimmer,,'The Suite Life on Deck',
1431,Brom Bones,'The Adventures of Ichabod and Mr. Toad',,
1432,Amelia Brooks,'Snow Dogs',,
1433,Broomdog,'Alice in Wonderland',,
1434,Buddha,'Air Buddies',,
1435,Buddha,'Snow Buddies',,
1436,Buddha,'Space Buddies',,
1437,Buddha,'Santa Buddies',,
1438,Buddha,'Spooky Buddies',,
1439,Buddha,'Treasure Buddies',,
1440,Buddha,'Super Buddies',,
1441,Buffo,,'Special Agent Oso',
1442,Owen Burnett,,'Gargoyles',
1443,Burp-Urp-Snurt-Pftftftfftf III,'Return to Halloweentown',,
1444,Cadpig,,'101 Dalmatians: The Series',
1445,Gloria Calloway,,'Dog With a Blog',
1446,Calvin Wheeler,'Life Is Ruff',,
1447,Carla,,'Phineas and Ferb',
1448,Carlos,,'The Proud Family',
1449,Carmen and Julio,,'Elena of Avalor',
1450,Carol of the Arrow,,'Sofia the First',
1451,Carrie Rawlins,'Bedknobs and Broomsticks',,
1452,Beret Girl,'An Extremely Goofy Movie',,
1453,Bertley Pleakley,'Leroy & Stitch','Lilo & Stitch: The Series',
1454,Blondy,,'T.O.T.S.',
1455,Rocky Blue,'Shake It Up: Made in Japan','Shake it Up',
1456,Rocky Blue,,'Good Luck Charlie',
1457,Bob,'Frankenweenie',,
1458,Bongo the Gorilla,'Who Framed Roger Rabbit','Marsupilami (TV series)',"""Roger Rabbit's Car Toon Spin"""
1459,Borra,'Maleficent: Mistress of Evil',,
1460,LaCienega Boulevardez,'The Proud Family Movie','The Proud Family',
1461,Bowling Ball,,'Penn Zero: Part-Time Hero',
1462,Brady,'Teen Beach Movie',,
1463,Brady,'Teen Beach 2',,
1464,Brendan Quarters,,'Gargoyles',
1465,Brobot,'Phineas and Ferb the Movie: Across the 2nd Dimension','Phineas and Ferb',
1466,Beppo Brown,,'Phineas and Ferb',
1467,Buck Willingham,'Air Bud',,
1468,Bungo,,'Jungle Junction',
1469,Henry Burke,'Race to Witch Mountain',,
1470,Commander Buck Burpelson,,'Quack Pack',
1471,C.O.L.L.A.R.,,,
1472,Lady Caine,'Tangled: Before Ever After','Tangled: The Series',
1473,Camera 9,,,
1474,Captain Jay Fuller,'The Lone Ranger',,
1475,Caretaker,,,
1476,Bent-Tail Junior,,,
1477,Big Hero 6,'Big Hero 6','Big Hero 6: The Series',
1478,Ellie Blake,'Freaky Friday (2018)',,
1479,Blotlings,,,
1480,Curtis Blue,,'Shake it Up',
1481,Blunk,,'W.I.T.C.H.',
1482,Uncle Boaris,,'Timon & Pumbaa',
1483,Bob the Dog,'The One and Only Ivan',,
1484,Borg Guillarson,'Iron Will',,
1485,Felix Boulevardez,'The Proud Family Movie','The Proud Family',
1486,Boy,'The Reluctant Dragon','House of Mouse',
1487,Brick,'Incredibles 2',,
1488,Broadway,,'Gargoyles',
1489,Bronty,,'Doc McStuffins',
1490,Bronty,,'The Doc Files',
1491,Brooke,,'Austin and Ally',
1492,Brutus,'The Ugly Dachshund',,
1493,Buldeo,"""Rudyard Kipling's The Jungle Book""",,
1494,Bunny Children,,,
1495,Buzz-Buzz the Bee,,"""Chip 'n Dale Rescue Rangers""",
1496,Buzz-Buzz the Bee,,'Mickey Mouse Clubhouse',
1497,Buzz-Buzz the Bee,,'Legend of the Three Caballeros',
1498,Cadenza,'Beauty and the Beast (2017 film)',,
1499,CALLIE,,'The Suite Life of Zack & Cody',
1500,Courtney Callum,'Cow Belles',,
1501,Scott Calvin,'The Santa Clause',,
1502,Scott Calvin,'The Santa Clause 2',,
1503,Scott Calvin,'The Santa Clause 3: The Escape Clause',,
1504,Captain Grime,,'Amphibia',
1505,Captain Hook,'Peter Pan (film)','Walt Disney anthology series',"""Peter Pan's Flight"""
1506,Captain Hook,'Return to Never Land','The Mouse Factory','Fantasmic!'
1507,Captain Hook,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'Raw Toonage','Dream Along With Mickey'
1508,Captain Hook,"""Mickey's House of Villains""",'House of Mouse','Magic
1509,Captain Hook,'Once Upon a Halloween','Jake and the Never Land Pirates',Music and Mayhem'
1510,Captain Hook,'The Pirate Fairy','Once Upon a Time','Back to Never Land'
1511,Captain Hook,'Peter Pan and Wendy','Playing with Skully',"""One Man's Dream II: The Magic Lives On!"""
1512,Captain Hook,,,"""Mickey's Soundsational Parade"""
1513,Captain Hook,,,"""Mickey's Boo-to-You Halloween Parade"""
1514,Captain Hook,,,"""Disney's Once Upon a Dream Parade"""
1515,Captain Hook,,,'Celebrate a Dreams Come True Parade'
1516,Captain Hook,,,'Main Street Electrical Parade'
1517,Captain Hook,,,'SpectroMagic'
1518,Captain Hook,,,'Disney Dreams'
1519,Captain Hook,,,'Midship Detective Agency'
1520,Captain Hook,,,'Festival of Fantasy Parade'
1521,Captain Hook,,,'World of Color'
1522,Captain Hook,,,'Hocus Pocus Villain Spelltacular'
1523,Captain Hook,,,"""Cinderella's Surprise Celebration"""
1524,Carnaby,"""Atlantis: Milo's Return""",,
1525,Bering,'Brother Bear 2',,
1526,Bertie the Jinx,,,
1527,Big D,,"""That's So Raven""",
1528,"Billy, Goat, and Gruff",'Toy Story','Pixar Popcorn',
1529,"Billy, Goat, and Gruff",'Toy Story 2',,
1530,"Billy, Goat, and Gruff",'Toy Story 4',,
1531,Binglebops,,'Wander Over Yonder',
1532,Bingo,,'Puppy Dog Pals',
1533,Laura Bird,,'The Suite Life of Zack & Cody',
1534,Jenny Blake,'The Rocketeer',,
1535,Princess Alrgelbaccch Blunkenthorttthhhph,,'Penn Zero: Part-Time Hero',
1536,Bob Seaver,'Homeward Bound: The Incredible Journey',,
1537,Bob Seaver,'Homeward Bound II: Lost in San Francisco',,
1538,Chief Bogo,'Zootopia',,
1539,Cyprus Bortel,,'Kim Possible',
1540,Papi Boulevardez,'The Proud Family Movie','The Proud Family',
1541,Bragg,,'Stitch!',
1542,Beagle Brats,,'DuckTales',
1543,Brenda Bradford,'Inspector Gadget (1999 film)',,
1544,King Brian,"""Darby O'Gill and the Little People""",,
1545,Briar Cudgeon,'Artemis Fowl',,
